id,suite,source_task,source_task_short,source_class,cf_class,dest,generated_language,llm_language_quality,llm_grounding_challenge,llm_physical_plausibility,llm_reasoning,llm_overall,llm_tier
106,libero_90,LIVING_ROOM_SCENE2_pick_up_the_milk_and_put_it_in_the_basket,LIVING_ROOM_SCENE2_pick_up_the_milk_and_put_it_in_,milk,butter,basket,Put the butter in the basket,5,4,5,"The natural instruction swaps distinct food categories (milk to butter), creating a strong language understanding test while remaining physically feasible with the basket destination.",90.0,A
12,libero_object,pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_bask,alphabet_soup,tomato_sauce,basket,Put the tomato sauce in the basket,5,4,5,"The instruction is natural language, the swap tests understanding between different food containers, and placing a sauce container in a basket is physically feasible.",90.0,A
110,libero_90,LIVING_ROOM_SCENE2_pick_up_the_tomato_sauce_and_put_it_in_the_basket,LIVING_ROOM_SCENE2_pick_up_the_tomato_sauce_and_pu,tomato_sauce,alphabet_soup,basket,Put the alphabet soup in the basket,5,4,5,"The natural instruction swaps between different food container types, providing a moderate grounding challenge with full physical plausibility.",90.0,A
128,libero_90,LIVING_ROOM_SCENE4_pick_up_the_chocolate_pudding_and_put_it_in_the_tray,LIVING_ROOM_SCENE4_pick_up_the_chocolate_pudding_a,chocolate_pudding,new_salad_dressing,wooden tray,Put the salad dressing in the wooden tray,5,4,5,"The instruction is natural, the swap tests language understanding by changing from a food item to a condiment bottle, and placing a bottle in a wooden tray is physically feasible per the reference.",90.0,A
88,libero_90,LIVING_ROOM_SCENE1_pick_up_the_alphabet_soup_and_put_it_in_the_basket,LIVING_ROOM_SCENE1_pick_up_the_alphabet_soup_and_p,alphabet_soup,tomato_sauce,basket,Put the tomato sauce in the basket,5,4,5,"The natural instruction swaps between different food containers, testing category differentiation with a physically plausible placement in the basket.",90.0,A
137,libero_90,LIVING_ROOM_SCENE6_put_the_chocolate_pudding_to_the_right_of_the_plate,LIVING_ROOM_SCENE6_put_the_chocolate_pudding_to_th,chocolate_pudding,porcelain_mug,living room table plate right region,Put the mug on the living room table,5,4,5,"Natural instruction, mug visually distinct from original object, and placement feasible.",90.0,A
22,libero_object,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,pick_up_the_chocolate_pudding_and_place_it_in_the_,chocolate_pudding,ketchup,basket,Put the ketchup in the basket,5,4,5,"The natural instruction swaps between different food categories with moderate visual distinction, and placing ketchup in a basket is physically feasible.",90.0,A
98,libero_90,LIVING_ROOM_SCENE2_pick_up_the_alphabet_soup_and_put_it_in_the_basket,LIVING_ROOM_SCENE2_pick_up_the_alphabet_soup_and_p,alphabet_soup,orange_juice,basket,Put the orange juice in the basket,5,4,5,"Natural instruction, moderate grounding challenge with different beverage container, and feasible placement in basket.",90.0,A
132,libero_90,LIVING_ROOM_SCENE4_stack_the_left_bowl_on_the_right_bowl_and_place_them_in_the_tray,LIVING_ROOM_SCENE4_stack_the_left_bowl_on_the_righ,akita_black_bowl,chocolate_pudding,akita black bowl,Put the chocolate pudding on the black bowl,5,5,3,"Natural instruction swaps a bowl for a food item, testing language understanding, but placing the bottle on the bowl is awkward.",85.0,A
133,libero_90,LIVING_ROOM_SCENE4_stack_the_right_bowl_on_the_left_bowl_and_place_them_in_the_tray,LIVING_ROOM_SCENE4_stack_the_right_bowl_on_the_lef,akita_black_bowl,new_salad_dressing,akita black bowl,Put the salad dressing on the black bowl,5,5,3,"Natural instruction strongly tests language understanding, but placing a bottle on a curved bowl surface is physically awkward.",85.0,A
126,libero_90,LIVING_ROOM_SCENE4_pick_up_the_black_bowl_on_the_left_and_put_it_in_the_tray,LIVING_ROOM_SCENE4_pick_up_the_black_bowl_on_the_l,akita_black_bowl,chocolate_pudding,wooden tray,Put the chocolate pudding in the wooden tray,4,4,5,The instruction targets a different object category (food item vs bowl) with feasible placement in a wooden tray.,82.5,A
57,libero_10,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_,alphabet_soup,tomato_sauce,basket,Put the tomato sauce in the basket,5,3,5,"The instruction is natural and the basket destination is physically suitable, but both objects are food containers so the grounding challenge is moderate.",80.0,A
130,libero_90,LIVING_ROOM_SCENE4_pick_up_the_salad_dressing_and_put_it_in_the_tray,LIVING_ROOM_SCENE4_pick_up_the_salad_dressing_and_,new_salad_dressing,chocolate_pudding,wooden tray,Put the chocolate pudding in the wooden tray,5,3,5,The instruction is natural and the swap tests specific food item understanding with a feasible placement in the wooden tray.,80.0,A
113,libero_90,LIVING_ROOM_SCENE3_pick_up_the_alphabet_soup_and_put_it_in_the_tray,LIVING_ROOM_SCENE3_pick_up_the_alphabet_soup_and_p,alphabet_soup,tomato_sauce,wooden tray,Put the tomato sauce in the wooden tray,5,3,5,"Natural instruction, moderate grounding challenge for similar food items, and feasible placement in the tray.",80.0,A
96,libero_90,LIVING_ROOM_SCENE2_pick_up_the_alphabet_soup_and_put_it_in_the_basket,LIVING_ROOM_SCENE2_pick_up_the_alphabet_soup_and_p,alphabet_soup,tomato_sauce,basket,Put the tomato sauce in the basket,5,3,5,"The instruction is natural but swaps within the same food category, and placing a sauce container in a basket is physically feasible.",80.0,A
122,libero_90,LIVING_ROOM_SCENE3_pick_up_the_tomato_sauce_and_put_it_in_the_tray,LIVING_ROOM_SCENE3_pick_up_the_tomato_sauce_and_pu,tomato_sauce,alphabet_soup,wooden tray,Put the alphabet soup in the wooden tray,5,3,5,"The instruction is natural and clear, the object swap tests category understanding within food containers, and placing soup in a wooden tray is physically plausible.",80.0,A
55,libero_10,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_,alphabet_soup,tomato_sauce,basket,Put the tomato sauce in the basket,5,3,5,Natural instruction; similar food cans provide moderate grounding challenge; basket accepts cans.,80.0,A
46,libero_goal,put_the_cream_cheese_in_the_bowl,put_the_cream_cheese_in_the_bowl,cream_cheese,wine_bottle,akita black bowl,Put the wine bottle on the black bowl,5,5,2,The natural instruction strongly tests language understanding but placing a wine bottle on a bowl is physically unstable and difficult for a robot.,77.5,B
100,libero_90,LIVING_ROOM_SCENE2_pick_up_the_butter_and_put_it_in_the_basket,LIVING_ROOM_SCENE2_pick_up_the_butter_and_put_it_i,butter,tomato_sauce,basket,Put the tomato sauce in the basket,5,5,1,"Natural instruction with strong object category swap, but placement is impossible as no basket exists in the scene.",70.0,B
153,libero_90,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_,black_book,red_coffee_mug,desk caddy,Put the red coffee mug in the desk caddy,5,1,5,"The CF instruction requests a red coffee mug not present in the scene, making it an invalid grounding test despite natural language and feasible placement.",60.0,B
138,libero_90,LIVING_ROOM_SCENE6_put_the_chocolate_pudding_to_the_right_of_the_plate,LIVING_ROOM_SCENE6_put_the_chocolate_pudding_to_th,chocolate_pudding,red_coffee_mug,living room table plate right region,Put the red coffee mug on the living room table,5,1,1,"The CF instruction targets a red coffee mug not present in the scene, making the grounding test invalid and the action impossible.",30.0,D
66,libero_10,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_,black_book,white_yellow_mug,desk caddy,Put the yellow mug in the desk caddy,5,1,1,"The instruction refers to a yellow mug that is not present in the scene, making the counterfactual test invalid.",30.0,D
152,libero_90,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_,black_book,porcelain_mug,desk caddy,Put the mug in the desk caddy,5,5,5,"The instruction is natural, swapping book to mug creates a strong grounding test, and mugs fit in desk caddy per fixture rules.",100.0,A
56,libero_10,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_,alphabet_soup,ketchup,basket,Put the ketchup in the basket,5,5,5,"Natural instruction, distinct object categories (soup vs. ketchup bottle) provide strong grounding test, and feasible placement in basket.",100.0,A
129,libero_90,LIVING_ROOM_SCENE4_pick_up_the_salad_dressing_and_put_it_in_the_tray,LIVING_ROOM_SCENE4_pick_up_the_salad_dressing_and_,new_salad_dressing,akita_black_bowl,wooden tray,Put the black bowl in the wooden tray,5,5,5,"The instruction is natural, the bowl-to-bottle swap creates a strong categorical grounding challenge, and placing the bowl in the tray is physically plausible per fixture reference.",100.0,A
8,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,pick_up_the_black_bowl_on_the_stove_and_place_it_o,akita_black_bowl,cookies,plate,Put the cookies on the plate,5,5,5,The instruction is natural and targets a categorically different object that can be plausibly placed on the plate.,100.0,A
9,libero_spatial,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,pick_up_the_black_bowl_on_the_wooden_cabinet_and_p,akita_black_bowl,cookies,plate,Put the cookies on the plate,5,5,5,"The CF instruction is natural, swaps a bowl for cookies (categorically distinct), and placing cookies on a plate is physically feasible.",100.0,A
104,libero_90,LIVING_ROOM_SCENE2_pick_up_the_milk_and_put_it_in_the_basket,LIVING_ROOM_SCENE2_pick_up_the_milk_and_put_it_in_,milk,alphabet_soup,basket,Put the alphabet soup in the basket,5,5,5,"Natural instruction with strong visual/categorical distinction between milk and soup, and basket placement is physically feasible.",100.0,A
81,libero_90,KITCHEN_SCENE5_put_the_black_bowl_on_top_of_the_cabinet,KITCHEN_SCENE5_put_the_black_bowl_on_top_of_the_ca,akita_black_bowl,ketchup,white cabinet 1 top side,Put the ketchup on the cabinet,5,5,5,"The instruction is natural, tests understanding between visually distinct objects (bowl vs bottle), and placement on the cabinet is feasible per reference.",100.0,A
82,libero_90,KITCHEN_SCENE5_put_the_ketchup_in_the_top_drawer_of_the_cabinet,KITCHEN_SCENE5_put_the_ketchup_in_the_top_drawer_o,ketchup,akita_black_bowl,white cabinet,Put the black bowl in the white cabinet,5,5,5,"The instruction is natural and tests language understanding by swapping a bottle for a visually distinct bowl, with both objects being physically feasible for the cabinet destination.",100.0,A
34,libero_object,pick_up_the_salad_dressing_and_place_it_in_the_basket,pick_up_the_salad_dressing_and_place_it_in_the_bas,salad_dressing,alphabet_soup,basket,Put the alphabet soup in the basket,5,5,5,"Natural instruction swaps a bottle for a distinct food item, testing language understanding with feasible basket placement.",100.0,A
10,libero_object,pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_bask,alphabet_soup,salad_dressing,basket,Put the salad dressing in the basket,5,5,5,"Natural instruction, strong category swap from soup to dressing bottle, and basket placement is feasible.",100.0,A
154,libero_90,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_,black_book,porcelain_mug,desk caddy,Put the mug in the desk caddy,5,5,5,"The instruction is natural, the mug-book swap strongly tests language understanding, and the desk caddy can hold a mug per reference.",100.0,A
58,libero_10,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_,alphabet_soup,ketchup,basket,Put the ketchup in the basket,5,5,5,"Natural instruction, strong category swap from soup to ketchup, and bottle in basket is feasible.",100.0,A
83,libero_90,KITCHEN_SCENE5_put_the_ketchup_in_the_top_drawer_of_the_cabinet,KITCHEN_SCENE5_put_the_ketchup_in_the_top_drawer_o,ketchup,plate,white cabinet,Put the plate in the white cabinet,5,5,5,Natural instruction with highly distinct object swap that remains physically feasible per reference.,100.0,A
35,libero_object,pick_up_the_salad_dressing_and_place_it_in_the_basket,pick_up_the_salad_dressing_and_place_it_in_the_bas,salad_dressing,cream_cheese,basket,Put the cream cheese in the basket,5,5,5,"The instruction is natural, the swap from salad dressing (bottle) to cream cheese (different category) strongly tests language understanding, and the basket accepts small graspable objects.",100.0,A
107,libero_90,LIVING_ROOM_SCENE2_pick_up_the_orange_juice_and_put_it_in_the_basket,LIVING_ROOM_SCENE2_pick_up_the_orange_juice_and_pu,orange_juice,alphabet_soup,basket,Put the alphabet soup in the basket,5,5,5,"Natural instruction, strong category swap from bottle to can, and feasible placement in basket.",100.0,A
36,libero_object,pick_up_the_tomato_sauce_and_place_it_in_the_basket,pick_up_the_tomato_sauce_and_place_it_in_the_baske,tomato_sauce,butter,basket,Put the butter in the basket,5,5,5,"The instruction is natural, the swap from tomato sauce (bottle) to butter (food item) creates strong categorical contrast, and placing butter in the basket is physically feasible.",100.0,A
59,libero_10,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_,alphabet_soup,orange_juice,basket,Put the orange juice in the basket,5,5,5,"The instruction is natural, the swap from soup to juice tests language understanding with distinct categories, and placing a bottle in a basket is feasible.",100.0,A
11,libero_object,pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_bask,alphabet_soup,milk,basket,Put the milk in the basket,5,5,5,Natural instruction with strong category swap (soup to milk) and feasible basket placement.,100.0,A
156,libero_90,STUDY_SCENE3_pick_up_the_white_mug_and_place_it_to_the_right_of_the_caddy,STUDY_SCENE3_pick_up_the_white_mug_and_place_it_to,porcelain_mug,black_book,study table desk caddy right region,Put the black book on the study table,5,5,5,"The CF instruction is natural, swaps a mug to a book (high grounding challenge), and placing a book on the table is physically feasible.",100.0,A
108,libero_90,LIVING_ROOM_SCENE2_pick_up_the_orange_juice_and_put_it_in_the_basket,LIVING_ROOM_SCENE2_pick_up_the_orange_juice_and_pu,orange_juice,cream_cheese,basket,Put the cream cheese in the basket,5,5,5,"The instruction is natural, the object swap is highly distinct, and placing cream cheese in the basket is feasible.",100.0,A
85,libero_90,KITCHEN_SCENE9_put_the_frying_pan_on_top_of_the_cabinet,KITCHEN_SCENE9_put_the_frying_pan_on_top_of_the_ca,chefmate_8_frypan,white_bowl,wooden two layer shelf 1 top side,Put the white bowl on the shelf,5,5,5,"The CF instruction is natural, tests genuine language understanding by swapping to a visually distinct object, and the placement is physically feasible per fixture reference.",100.0,A
37,libero_object,pick_up_the_tomato_sauce_and_place_it_in_the_basket,pick_up_the_tomato_sauce_and_place_it_in_the_baske,tomato_sauce,chocolate_pudding,basket,Put the chocolate pudding in the basket,5,5,5,"Natural instruction, strong category swap (bottle to cup), and basket accepts small objects.",100.0,A
13,libero_object,pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick_up_the_bbq_sauce_and_place_it_in_the_basket,bbq_sauce,chocolate_pudding,basket,Put the chocolate pudding in the basket,5,5,5,"The CF instruction is natural, swaps to a different object category (sauce bottle to pudding container), and the basket can hold the new object.",100.0,A
60,libero_10,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_,alphabet_soup,milk,basket,Put the milk in the basket,5,5,5,"Natural instruction, strong language test with different food container, and basket is suitable for milk.",100.0,A
61,libero_10,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_a,cream_cheese,tomato_sauce,basket,Put the tomato sauce in the basket,5,5,5,"The instruction is natural, the object swap creates a strong grounding challenge between different categories, and placing a sauce container in a basket is physically feasible.",100.0,A
86,libero_90,KITCHEN_SCENE9_put_the_frying_pan_under_the_cabinet_shelf,KITCHEN_SCENE9_put_the_frying_pan_under_the_cabine,chefmate_8_frypan,white_bowl,wooden two layer shelf,Put the white bowl in the wooden two layer shelf,5,5,5,"Natural instruction, highly challenging object swap from pan to bowl, and feasible placement in the cabinet.",100.0,A
38,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,open_the_top_drawer_and_put_the_bowl_inside,akita_black_bowl,cream_cheese,wooden cabinet,Put the cream cheese in the wooden cabinet,5,5,5,Natural instruction targets a categorically different object in a plausible location.,100.0,A
109,libero_90,LIVING_ROOM_SCENE2_pick_up_the_orange_juice_and_put_it_in_the_basket,LIVING_ROOM_SCENE2_pick_up_the_orange_juice_and_pu,orange_juice,butter,basket,Put the butter in the basket,5,5,5,"Natural instruction, high visual/categorical difference between orange juice and butter, and feasible placement in the basket.",100.0,A
14,libero_object,pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick_up_the_bbq_sauce_and_place_it_in_the_basket,bbq_sauce,alphabet_soup,basket,Put the alphabet soup in the basket,5,5,5,"The CF instruction is natural, swaps a bottle for a can (strong grounding test), and both fit in the basket.",100.0,A
62,libero_10,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_a,cream_cheese,ketchup,basket,Put the ketchup in the basket,5,5,5,"The instruction is natural, the swap from cream cheese box to ketchup bottle strongly tests language understanding, and placing a bottle in a basket is physically feasible.",100.0,A
80,libero_90,KITCHEN_SCENE5_put_the_black_bowl_on_the_plate,KITCHEN_SCENE5_put_the_black_bowl_on_the_plate,akita_black_bowl,ketchup,plate,Put the ketchup on the plate,5,5,5,"Natural instruction, bowl-to-bottle swap is highly challenging for language-blind policies, and placing a bottle on a plate is physically plausible per fixture reference.",100.0,A
39,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,open_the_top_drawer_and_put_the_bowl_inside,akita_black_bowl,wine_bottle,wooden cabinet,Put the wine bottle in the wooden cabinet,5,5,5,"The instruction is natural, the wine bottle differs significantly from the original bowl, and placing it in the cabinet is physically feasible per reference.",100.0,A
87,libero_90,KITCHEN_SCENE9_put_the_white_bowl_on_top_of_the_cabinet,KITCHEN_SCENE9_put_the_white_bowl_on_top_of_the_ca,white_bowl,chefmate_8_frypan,wooden two layer shelf 1 top side,Put the frying pan on the shelf,5,5,5,"The instruction is natural, the bowl-to-frying-pan swap creates strong categorical contrast, and placing a pan on a cabinet shelf is physically feasible.",100.0,A
15,libero_object,pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick_up_the_bbq_sauce_and_place_it_in_the_basket,bbq_sauce,cream_cheese,basket,Put the cream cheese in the basket,5,5,5,"The CF instruction is natural, swaps a bottle for a different food container, and the basket accepts any small object.",100.0,A
111,libero_90,LIVING_ROOM_SCENE2_pick_up_the_tomato_sauce_and_put_it_in_the_basket,LIVING_ROOM_SCENE2_pick_up_the_tomato_sauce_and_pu,tomato_sauce,cream_cheese,basket,Put the cream cheese in the basket,5,5,5,"Natural instruction, strong category difference between bottle and container, and basket placement is feasible.",100.0,A
135,libero_90,LIVING_ROOM_SCENE6_put_the_chocolate_pudding_to_the_left_of_the_plate,LIVING_ROOM_SCENE6_put_the_chocolate_pudding_to_th,chocolate_pudding,porcelain_mug,living room table plate left region,Put the mug on the living room table,5,5,5,"Natural instruction, strong category difference between pudding and mug, and table placement is feasible.",100.0,A
63,libero_10,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_a,cream_cheese,orange_juice,basket,Put the orange juice in the basket,5,5,5,"Natural instruction, strong category swap from cream cheese to orange juice, and basket placement is feasible.",100.0,A
16,libero_object,pick_up_the_butter_and_place_it_in_the_basket,pick_up_the_butter_and_place_it_in_the_basket,butter,tomato_sauce,basket,Put the tomato sauce in the basket,5,5,5,"Natural instruction, strong category swap (bottle vs. butter), and feasible placement in basket.",100.0,A
136,libero_90,LIVING_ROOM_SCENE6_put_the_chocolate_pudding_to_the_left_of_the_plate,LIVING_ROOM_SCENE6_put_the_chocolate_pudding_to_th,chocolate_pudding,red_coffee_mug,living room table plate left region,Put the red coffee mug on the living room table,5,5,5,"The natural instruction swaps a food item for a visually distinct mug, testing language understanding while remaining physically feasible on the table.",100.0,A
112,libero_90,LIVING_ROOM_SCENE2_pick_up_the_tomato_sauce_and_put_it_in_the_basket,LIVING_ROOM_SCENE2_pick_up_the_tomato_sauce_and_pu,tomato_sauce,butter,basket,Put the butter in the basket,5,5,5,"Natural instruction, strong category swap from bottle to box, and basket can hold the butter package.",100.0,A
64,libero_10,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_a,cream_cheese,milk,basket,Put the milk in the basket,5,5,5,"The instruction is natural, the swap from cream cheese box to milk bottle is highly distinct, and placing a bottle in a basket is physically feasible.",100.0,A
17,libero_object,pick_up_the_butter_and_place_it_in_the_basket,pick_up_the_butter_and_place_it_in_the_basket,butter,orange_juice,basket,Put the orange juice in the basket,5,5,5,"The CF instruction is natural, swaps a solid (butter) with a liquid container (bottle), and the basket can hold the bottle.",100.0,A
89,libero_90,LIVING_ROOM_SCENE1_pick_up_the_alphabet_soup_and_put_it_in_the_basket,LIVING_ROOM_SCENE1_pick_up_the_alphabet_soup_and_p,alphabet_soup,ketchup,basket,Put the ketchup in the basket,5,5,5,"The instruction is natural, the soup-to-ketchup swap creates a strong categorical distinction, and placing a bottle in a basket is physically feasible per reference.",100.0,A
41,libero_goal,put_the_bowl_on_the_plate,put_the_bowl_on_the_plate,akita_black_bowl,cream_cheese,plate,Put the cream cheese on the plate,5,5,5,"The instruction is natural, the swap from bowl to cream cheese box is highly distinct, and placing the small box on the plate is physically straightforward.",100.0,A
65,libero_10,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_,porcelain_mug,chocolate_pudding,plate,Put the chocolate pudding on the plate,5,5,5,"Natural instruction, highly challenging object swap, and feasible placement on plate.",100.0,A
42,libero_goal,put_the_bowl_on_the_plate,put_the_bowl_on_the_plate,akita_black_bowl,wine_bottle,plate,Put the wine bottle on the plate,5,5,5,Natural instruction targets a categorically different object that can be placed on the plate per fixture reference.,100.0,A
18,libero_object,pick_up_the_butter_and_place_it_in_the_basket,pick_up_the_butter_and_place_it_in_the_basket,butter,bbq_sauce,basket,Put the bbq sauce in the basket,5,5,5,"The instruction is natural, the swap tests distinct categories (butter vs. bottle), and placing a bottle in a basket is physically feasible.",100.0,A
90,libero_90,LIVING_ROOM_SCENE1_pick_up_the_cream_cheese_box_and_put_it_in_the_basket,LIVING_ROOM_SCENE1_pick_up_the_cream_cheese_box_an,cream_cheese,tomato_sauce,basket,Put the tomato sauce in the basket,5,5,5,"The instruction is natural, the object swap from cream cheese to tomato sauce creates a strong grounding challenge, and placing a bottle in a basket is physically plausible.",100.0,A
114,libero_90,LIVING_ROOM_SCENE3_pick_up_the_alphabet_soup_and_put_it_in_the_tray,LIVING_ROOM_SCENE3_pick_up_the_alphabet_soup_and_p,alphabet_soup,ketchup,wooden tray,Put the ketchup in the wooden tray,5,5,5,"The instruction is natural, the swap from alphabet soup to ketchup bottle is highly distinct, and placing a bottle in a wooden tray is feasible.",100.0,A
91,libero_90,LIVING_ROOM_SCENE1_pick_up_the_cream_cheese_box_and_put_it_in_the_basket,LIVING_ROOM_SCENE1_pick_up_the_cream_cheese_box_an,cream_cheese,ketchup,basket,Put the ketchup in the basket,5,5,5,"Natural instruction, strong category swap (box to bottle), and basket accepts bottles.",100.0,A
